,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
0,ru000a0zyhx8 ,спбго35001 ,38.39,54,305596975,rub,1000.0,sur,95.53,"95,35","95,9","95,76",15.82,,- ,- ,28.05.25,,"95,75","29,32",16.04.24,212,16.2825,212.0,141.0,128.0,16.04.24 18:39,15.36
1,ru000a1087f6 ,ульоб34008 ,39.89,499,44345858,rub,1000.0,sur,100.91,"100,86","100,95","100,94",16.61,,- ,- ,05.04.29,,"100,94","2,19",16.04.24,1091,16.6257,1091.0,300.0,291.0,16.04.24 18:39,15.96
2,ru000a101u61 ,ульоб35002 ,32.91,155,7084809,rub,1000.0,sur,86.7,"86,62",87,"86,7",17.03,,- ,- ,25.06.27,,"86,7","19,71",16.04.24,532,17.0305,532.0,308.0,285.0,16.04.24 18:39,13.16
3,ru000a1077u6 ,ульоб34006 ,36.15,128,1784026,rub,1000.0,sur,99.33,"98,9","99,47","99,46",15.85,,- ,- ,14.05.26,,"99,46","24,23",16.04.24,399,15.9881,399.0,174.0,157.0,16.04.24 18:39,14.46
4,ru000a1033z8 ,мгор74-об ,36.8,124,1677902,rub,1000.0,sur,81.29,81,"82,03","81,64",13.79,,- ,- ,18.05.28,,"81,64","29,32",16.04.24,1247,13.9307,1247.0,26.0,20.0,16.04.24 18:39,14.72
5,ru000a106ye3 ,мгдобл2023 ,34.28,94,1587782,rub,1000.0,sur,100.18,100,"100,35","100,32",14.34,,- ,- ,20.09.28,,"100,31","7,53",16.04.24,1024,14.3991,1024.0,68.0,59.0,16.04.24 18:39,13.71
6,ru000a1030s9 ,мгор72-об ,32.66,62,1147897,rub,1000.0,sur,99.9,"99,79","99,92","99,81",19.22,,- ,"17,6058",23.04.24,,"99,82","31,4",16.04.24,5,13.0494,6.0,419.0,419.0,16.04.24 18:39,13.06
7,ru000a1011q3 ,новосиб 20 ,5.67,204,734508,rub,350.0,sur,95.26,"93,82","96,72","95,48",15.66,,- ,- ,13.11.24,,"95,48","0,19",16.04.24,207,16.1271,207.0,112.0,111.0,16.04.24 18:39,6.48
8,ru000a0zyfb8 ,красяркр14 ,9.77,66,429584,rub,500.0,sur,96.32,"96,22","96,68","96,53",15.45,,- ,- ,31.10.24,,"96,37","8,05",16.04.24,191,15.9258,191.0,89.0,88.0,16.04.24 18:39,7.82
9,ru000a102cx8 ,ульоб34003 ,4.67,57,299840,rub,300.0,sur,87.83,"87,75","88,11","87,75",16.02,,- ,- ,12.11.25,,"87,75","3,18",16.04.24,542,15.9482,542.0,186.0,185.0,16.04.24 18:39,6.23
10,ru000a102895 ,новосиб 21 ,11.67,47,285281,rub,800.0,sur,92.15,"91,56","93,94","92,46",14.5,,- ,- ,14.10.25,,"92,43","0,64",16.04.24,367,14.8812,367.0,21.0,18.0,16.04.24 18:39,5.84
11,ru000a1011b5 ,краснодкр3 ,17.33,26,280954,rub,1000.0,sur,89.19,"88,9","89,34","89,33",15.29,,- ,- ,12.11.26,,"89,33","12,95",16.04.24,544,15.4051,543.0,126.0,111.0,16.04.24 18:39,6.93
12,ru000a107b19 ,новосиб 23 ,31.79,71,278382,rub,1000.0,sur,98.37,"98,12","98,55","98,34",13.88,,- ,- ,22.11.30,,"98,34","30,39",16.04.24,1324,13.8706,1324.0,36.0,33.0,16.04.24 18:39,12.72
13,ru000a0jxys9 ,краснодкр1 ,8.58,36,259551,rub,400.0,sur,98.17,"98,04","98,59","98,59",13.94,,- ,- ,09.08.24,,"98,42","6,31",16.04.24,112,15.5106,112.0,-81.0,-81.0,16.04.24 18:39,8.58
14,ru000a0jwz77 ,свердлоб3 ,4.89,27,247480,rub,200.0,sur,97.05,"97,05","97,51","97,05",16.08,,- ,- ,15.11.24,,"97,05","3,22",16.04.24,205,16.0764,205.0,154.0,153.0,16.04.24 18:39,9.78
15,ru000a102dr8 ,омскоб20 ,16.08,55,212295,rub,1000.0,sur,91.11,"90,27","91,25","91,24",15.85,,- ,- ,24.11.25,,"91,18","9,9",16.04.24,395,16.0037,394.0,160.0,156.0,16.04.24 18:39,6.43
16,ru000a0zycd1 ,курск35001 ,5.95,75,199425,rub,300.0,sur,94.69,"94,52",95,95,15.23,,- ,- ,12.10.25,,"94,64","0,26",16.04.24,292,15.7004,292.0,95.0,83.0,16.04.24 18:39,7.93
17,ru000a102a15 ,спбго35003 ,21.12,65,191550,rub,700.0,sur,83.94,"83,74","84,7","83,74",14.83,,- ,- ,13.04.27,,"83,78",- ,16.04.24,815,14.706,815.0,97.0,89.0,16.04.24 18:39,12.07
18,ru000a0jwm56 ,самаробл12 ,6.01,43,179101,rub,250.0,sur,99.22,"99,01","99,27","99,2",14.99,,- ,"14,1441",21.06.24,,"99,2","1,65",16.04.24,64,14.8625,64.0,12.0,12.0,16.04.24 18:39,9.62
19,ru000a100cn3 ,якут-12 об ,12.85,29,172384,rub,600.0,sur,93.59,"93,51","93,91","93,88",14.57,,- ,- ,13.05.26,,"93,88","8,75",16.04.24,440,14.8623,439.0,41.0,32.0,16.04.24 18:39,8.57
20,ru000a0zz7e6 ,якут-10 об ,7.53,53,160333,rub,400.0,sur,94.76,"94,69","95,17",95,15.45,,- ,- ,15.05.25,,95,"5,05",16.04.24,266,15.8494,266.0,106.0,101.0,16.04.24 18:39,7.53
21,ru000a0zyjb0 ,ульян.об17 ,7.99,46,158077,rub,400.0,sur,95.46,"95,1","96,12","95,61",16.32,,- ,- ,07.12.24,,"95,61","4,17",16.04.24,228,16.6061,228.0,182.0,181.0,16.04.24 18:39,7.99
22,ru000a0zydu3 ,свердлоб4 ,7.68,44,152160,rub,400.0,sur,93.24,"92,72","93,64","93,49",15.7,,- ,- ,22.10.25,,"93,48","7,17",16.04.24,343,16.0255,342.0,141.0,136.0,16.04.24 18:39,7.68
23,ru000a0zycm2 ,красяркр13 ,9.79,29,146049,rub,500.0,sur,97.37,"96,85",98,"97,03",15.41,,- ,- ,03.10.24,,"97,03","1,29",16.04.24,167,14.5364,167.0,79.0,78.0,16.04.24 18:39,7.83
24,ru000a101988 ,мособ34013 ,6.53,36,135013,rub,400.0,sur,94.81,"94,74","95,19","94,75",15.68,,- ,- ,20.12.24,,"94,75","1,79",16.04.24,242,15.57,242.0,120.0,120.0,16.04.24 18:39,6.53
25,ru000a0zyku8 ,калинобл17 ,13.8,79,130763,rub,700.0,sur,95.8,"95,5",96,"95,96",15.08,,- ,- ,17.12.24,,"95,96","5,31",16.04.24,238,15.3738,238.0,60.0,59.0,16.04.24 18:39,7.89
26,ru000a0zz8x4 ,краснодкр2 ,9.51,49,122000,rub,500.0,sur,94.94,"94,68","95,15","95,15",15.53,,- ,- ,03.06.25,,"95,06","5,12",16.04.24,258,15.8892,258.0,114.0,108.0,16.04.24 18:39,7.61
27,ru000a0zyl22 ,кчр 2017 ,10.85,47,119863,rub,500.0,sur,97.45,"97,39","97,59","97,57",15.79,,- ,- ,18.12.24,,"97,41","4,05",16.04.24,146,16.1437,145.0,123.0,112.0,16.04.24 18:39,8.68
28,ru000a0jxud9 ,коми 14 об ,11.28,26,110798,rub,500.0,sur,98.93,"98,84",99,"98,9",15.13,,- ,"14,2808",25.06.24,,"98,9","3,22",16.04.24,69,14.9493,68.0,27.0,27.0,16.04.24 18:39,9.02
29,ru000a1040s8 ,ульоб34004 ,11.9,47,109196,rub,500.0,sur,89.51,"89,3","89,79","89,75",15.76,,- ,- ,10.11.26,,"89,75","4,32",16.04.24,748,15.9061,748.0,182.0,175.0,16.04.24 18:39,9.52
