Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Закрытия %,НКД,Дата посл сделки,Дюрация дней,Вмененная RUONIA,Вмененная инфляция,BEI,Эффективная доходность,Дюрация срвзвеш,Z spread,G spread,Маркер КБД,Ставка купона
SU26228RMFS5 ,ОФЗ 26228 ,"38,15",1043,1571437373,RUB,1000,SUR,"68,228","67,95","69,173","68,499","17,25",,- ,- ,10.04.30,,"68,247","34,17",27.09.24,1522,- ,- ,- ,17.3579,1520,-10,-51,27.09.24 18:39,
SU26242RMFS6 ,ОФЗ 26242 ,"44,88",1823,1341264291,RUB,1000,SUR,"74,313",74,"75,119","74,355","17,59",,- ,- ,29.08.29,,"74,15","5,67",27.09.24,1419,- ,- ,- ,17.6074,1419,-1,-31,27.09.24 18:39,
SU26237RMFS6 ,ОФЗ 26237 ,"33,41",1219,1026458718,RUB,1000,SUR,"68,107","67,92","68,946","68,215","17,94",,- ,- ,14.03.29,,"68,054","1,65",27.09.24,1378,- ,- ,- ,17.991,1378,20,-1,27.09.24 18:39,
SU26222RMFS8 ,ОФЗ 26222 ,"35,4",2308,727262976,RUB,1000,SUR,"99,484","99,451","99,57","99,52","19,12",,- ,"17,5619",16.10.24,,"99,527","31,7",27.09.24,15,- ,- ,- ,20.0743,16,16,16,27.09.24 18:39,
SU29014RMFS6 ,ОФЗ 29014 ,- ,1200,666749847,RUB,1000,SUR,"99,888","99,85","99,95","99,949",- ,,- ,- ,25.03.26,,"99,93","1,01",27.09.24,488,- ,- ,- ,18.1737,488,-86,-89,27.09.24 18:39,
SU26234RMFS3 ,ОФЗ 26234 ,"22,44",1848,641247999,RUB,1000,SUR,"90,271","90,13","90,397","90,31","18,98",,- ,- ,16.07.25,,"90,13","8,88",27.09.24,284,- ,- ,- ,19.0416,284,-12,-12,27.09.24 18:39,
SU26207RMFS9 ,ОФЗ 26207 ,"40,64",2585,639747940,RUB,1000,SUR,"81,989","81,857","82,135","81,985","18,67",,- ,- ,03.02.27,,"81,983","11,39",27.09.24,778,- ,- ,- ,18.6641,778,0,-7,27.09.24 18:39,
SU26243RMFS4 ,ОФЗ 26243 ,"48,87",4960,630656884,RUB,1000,SUR,"66,947","66,652","67,191","66,823","16,41",,- ,- ,19.05.38,,"67,096","30,61",27.09.24,2276,- ,- ,- ,16.3752,2278,34,-45,27.09.24 18:39,
SU26244RMFS2 ,ОФЗ 26244 ,"56,1",6190,573166052,RUB,1000,SUR,"78,32","78,1","78,6","78,248","16,37",,- ,- ,15.03.34,,"78,2","0,62",27.09.24,2035,- ,- ,- ,16.3492,2035,-15,-75,27.09.24 18:39,
SU26229RMFS3 ,ОФЗ 26229 ,"35,65",1192,569884421,RUB,1000,SUR,"89,262","89,12","89,645","89,262","18,99",,- ,- ,12.11.25,,"89,143","26,44",27.09.24,387,- ,- ,- ,18.9891,387,-7,-8,27.09.24 18:39,
