,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,вмененная_ruonia,вмененная_инфляция,bei,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
0,su26244rmfs2 ,офз 26244 ,56.1,8432,2222769392,rub,1000.0,sur,88.783,"88,6","89,143","88,698",13.78,,- ,- ,15.03.34,,"88,699",6.16,16.04.24,2166,- ,- ,- ,13.7626,2167.0,21.0,40.0,16.04.24 18:39,11.22
1,su26243rmfs4 ,офз 26243 ,48.87,6152,1312172219,rub,1000.0,sur,77.207,"77,007","77,45","77,347",13.87,,- ,- ,19.05.38,,"77,28",35.44,16.04.24,2476,- ,- ,- ,13.8955,2474.0,9.0,47.0,16.04.24 18:39,9.77
2,su26236rmfs8 ,офз 26236 ,28.42,431,1274608126,rub,1000.0,sur,77.334,"77,2","77,451","77,446",13.4,,- ,- ,17.05.28,,"77,35",22.8,16.04.24,1290,- ,- ,- ,13.4499,1290.0,-12.0,-17.0,16.04.24 18:39,5.68
3,su26222rmfs8 ,офз 26222 ,35.4,2262,921121697,rub,1000.0,sur,96.972,"96,79","97,099",97,13.98,,- ,"13,5216",16.10.24,,"96,93",35.21,16.04.24,181,- ,- ,- ,14.046,181.0,-62.0,-62.0,16.04.24 18:39,7.08
5,su26241rmfs8 ,офз 26241 ,47.37,2119,593566267,rub,1000.0,sur,81.355,"81,261","81,53","81,476",13.59,,- ,- ,17.11.32,,"81,32",36.18,16.04.24,2012,- ,- ,- ,13.6207,2011.0,8.0,21.0,16.04.24 18:39,9.47
6,su26227rmfs7 ,офз 26227 ,36.9,1748,546200548,rub,1000.0,sur,98.267,"98,15","98,3","98,24",15.25,,- ,"14,4473",17.07.24,,"98,295",18.25,16.04.24,90,- ,- ,- ,15.1252,91.0,44.0,44.0,16.04.24 18:39,7.38
7,su26238rmfs4 ,офз 26238 ,35.4,8036,472909567,rub,1000.0,sur,59.185,"59,129","59,269","59,236",13.57,,- ,- ,15.05.41,,"59,198",25.67,16.04.24,2821,- ,- ,- ,13.5837,2819.0,-36.0,14.0,16.04.24 18:39,7.08
9,su26228rmfs5 ,офз 26228 ,38.15,1674,276111133,rub,1000.0,sur,77.988,"77,6","78,24","78,146",13.45,,- ,- ,10.04.30,,78,37.94,16.04.24,1731,- ,- ,- ,13.4942,1730.0,1.0,3.0,16.04.24 18:39,7.63
10,su26234rmfs3 ,офз 26234 ,22.44,1497,195397393,rub,1000.0,sur,89.404,"89,302","89,5","89,49",14.45,,- ,- ,16.07.25,,"89,388",11.1,16.04.24,442,- ,- ,- ,14.5369,442.0,20.0,20.0,16.04.24 18:39,4.49
11,su26242rmfs6 ,офз 26242 ,44.88,755,174703152,rub,1000.0,sur,84.561,"84,522","84,796","84,606",13.5,,- ,- ,29.08.29,,"84,696",10.11,16.04.24,1541,- ,- ,- ,13.5151,1541.0,4.0,4.0,16.04.24 18:39,8.98
12,su26237rmfs6 ,офз 26237 ,33.41,482,161860129,rub,1000.0,sur,77.42,"77,27","77,673","77,537",13.46,,- ,- ,14.03.29,,"77,381",4.96,16.04.24,1508,- ,- ,- ,13.5001,1508.0,0.0,-2.0,16.04.24 18:39,6.68
13,su26230rmfs1 ,офз 26230 ,38.39,2763,135476205,rub,1000.0,sur,64.623,"64,499","64,833","64,595",13.62,,- ,- ,16.03.39,,"64,55",2.74,16.04.24,2781,- ,- ,- ,13.6098,2781.0,-22.0,19.0,16.04.24 18:39,7.68
