Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
SU26247RMFS5 ,ОФЗ 26247 ,"61,08",9065,9850093354,RUB,1000,SUR,"92,373","91,95","92,8","92,45","13,92",,- ,- ,11.05.39,,- ,"92,372","33,22",- ,- ,- ,04.09.25,2366,13.932,2365,27,30,04.09.25 18:49
SU26248RMFS3 ,ОФЗ 26248 ,"61,08",12196,5639877289,RUB,1000,SUR,"92,851","92,3","93,04","92,824","13,82",,- ,- ,16.05.40,,- ,"92,795","30,88",- ,- ,- ,04.09.25,2437,13.8127,2438,17,19,04.09.25 18:49
SU26245RMFS9 ,ОФЗ 26245 ,"59,84",5689,4746606058,RUB,1000,SUR,"92,544",92,"92,99","92,54","13,81",,- ,- ,26.09.35,,- ,"92,549","48,66",- ,- ,- ,04.09.25,2059,13.8121,2059,17,22,04.09.25 18:49
SU29020RMFS3 ,ОФЗ 29020 ,- ,696,4305626332,RUB,1000,SUR,"99,388","99,26","99,5","99,427",- ,,- ,- ,22.09.27,,- ,"99,371","36,54",- ,- ,- ,04.09.25,601,23.2899,601,977,980,04.09.25 18:49
SU26246RMFS7 ,ОФЗ 26246 ,"59,84",5608,3447467595,RUB,1000,SUR,"92,332","91,85","92,55","92,199","13,85",,- ,- ,12.03.36,,- ,"92,199","53,26",- ,- ,- ,04.09.25,2091,13.8248,2092,21,25,04.09.25 18:49
SU26238RMFS4 ,ОФЗ 26238 ,"35,4",17839,3418930462,RUB,1000,SUR,"61,224","61,044","61,568","61,151","13,36",,- ,- ,15.05.41,,- ,"61,3","17,89",- ,- ,- ,04.09.25,2827,13.3398,2828,-29,-29,04.09.25 18:49
RU000A10C8C0 ,РЖД 1Р-44R ,"11,47",818,3213307108,RUB,1000,SUR,"100,32","100,18","100,75","100,74","14,58",,- ,- ,10.02.29,,- ,"100,4","1,91",- ,- ,- ,04.09.25,1002,14.7508,1001,106,112,04.09.25 18:49
SU29016RMFS1 ,ОФЗ 29016 ,- ,569,2063579520,RUB,1000,SUR,"99,701","99,664","99,848","99,717",- ,,- ,- ,23.12.26,,- ,"99,734","36,54",- ,- ,- ,04.09.25,410,23.2957,410,968,966,04.09.25 18:49
SU26249RMFS1 ,ОФЗ 26249 ,"54,85",732,1406131596,RUB,1000,SUR,"90,092","89,746","90,3",90,"13,71",,- ,- ,16.06.32,,- ,90,"21,4",- ,- ,- ,04.09.25,1727,13.6894,1728,10,15,04.09.25 18:49
RU000A10CMR3 ,СибурХ1Р08 ,"0,55",2345,1359330625,USD,100,SUR,"100,95","100,6921","101,2499","101,249","6,59",,- ,- ,08.08.30,,- ,"101,249","1,617",- ,- ,- ,04.09.25,1538,01.06.05,1537,-698,-695,04.09.25 18:49
SU26242RMFS6 ,ОФЗ 26242 ,"44,88",5984,1036459395,RUB,1000,SUR,"88,355","87,652","88,49",88,"13,37",,- ,- ,29.08.29,,- ,"87,898","0,25",- ,- ,- ,04.09.25,1237,13.2364,1237,-16,-13,04.09.25 18:49
RU000A1095W4 ,Ростел1P9R ,- ,189,994576579,RUB,1000,SUR,"100,15","99,67","101,48","100,4","20,26",,- ,- ,04.08.27,,- ,"100,41","15,22",- ,- ,- ,04.09.25,698,-0.0783,698,,-1365,04.09.25 18:49
SU29014RMFS6 ,ОФЗ 29014 ,- ,1453,692412815,RUB,1000,SUR,"99,8","99,775","99,869","99,818",- ,,- ,- ,25.03.26,,- ,"99,8","36,54",- ,- ,- ,04.09.25,187,23.9369,187,954,948,04.09.25 18:49
RU000A10A844 ,РФ ЗО 47 Д ,5250,10,533392067,USD,200000,SUR,"89,9445",89,"89,7","89,001","6,27",,- ,- ,23.06.47,,- ,"89,001","167424,1205",- ,- ,- ,04.09.25,4579,31.05.82,4598,-738,-741,04.09.25 18:49
SU26235RMFS0 ,ОФЗ 26235 ,"29,42",1973,495236911,RUB,1000,SUR,"72,047","71,77","73,342","72,349","13,52",,- ,- ,12.03.31,,- ,"72,195","27,32",- ,- ,- ,04.09.25,1629,13.6232,1628,-6,-3,04.09.25 18:49
SU26230RMFS1 ,ОФЗ 26230 ,"38,39",4733,493684780,RUB,1000,SUR,"65,61","65,353","66,099","65,599","13,66",,- ,- ,16.03.39,,- ,"65,6","32,69",- ,- ,- ,04.09.25,2577,13.6573,2577,1,2,04.09.25 18:49
SU26233RMFS5 ,ОФЗ 26233 ,"30,42",5101,479719240,RUB,1000,SUR,"61,28","61,126","61,548","61,443","13,63",,- ,- ,18.07.35,,- ,"61,372","6,02",- ,- ,- ,04.09.25,2458,13.6774,2457,-2,1,04.09.25 18:49
RU000A10C9Y2 ,НОВАТЭК1Р5 ,"5,73",404,467226176,USD,1000,SUR,"102,467","102,3188","102,9599","102,9599","6,4",,- ,- ,11.01.30,,- ,"102,6",- ,- ,- ,- ,04.09.25,1377,01.06.39,1377,-715,-712,04.09.25 18:49
RU000A108GR8 ,Ростел1P7R ,- ,77,426128223,RUB,1000,SUR,"100,14",100,"100,2","100,2","20,45",,- ,- ,20.05.27,,- ,"100,19","7,36",- ,- ,- ,04.09.25,622,-0.082,622,,-1357,04.09.25 18:49
