Дата;Ключевая ставка, % годовых;Инфляция, % г/г;Цель по инфляции
07.2025;18,00;8,79;4,00
06.2025;20,00;9,40;4,00
05.2025;21,00;9,88;4,00
04.2025;21,00;10,23;4,00
03.2025;21,00;10,34;4,00
02.2025;21,00;10,06;4,00
01.2025;21,00;9,92;4,00
12.2024;21,00;9,52;4,00
11.2024;21,00;8,88;4,00
10.2024;21,00;8,54;4,00
09.2024;19,00;8,63;4,00
08.2024;18,00;9,05;4,00
07.2024;18,00;9,13;4,00
06.2024;16,00;8,59;4,00
05.2024;16,00;8,30;4,00
04.2024;16,00;7,84;4,00
03.2024;16,00;7,72;4,00
02.2024;16,00;7,69;4,00
01.2024;16,00;7,44;4,00
12.2023;16,00;7,42;4,00
11.2023;15,00;7,48;4,00
10.2023;15,00;6,69;4,00
09.2023;13,00;6,00;4,00
08.2023;12,00;5,15;4,00
07.2023;8,50;4,30;4,00
06.2023;7,50;3,25;4,00
05.2023;7,50;2,51;4,00
04.2023;7,50;2,31;4,00
03.2023;7,50;3,51;4,00
02.2023;7,50;10,99;4,00
01.2023;7,50;11,77;4,00
12.2022;7,50;11,94;4,00
11.2022;7,50;11,98;4,00
10.2022;7,50;12,63;4,00
09.2022;7,50;13,68;4,00
08.2022;8,00;14,30;4,00
07.2022;8,00;15,10;4,00
06.2022;9,50;15,90;4,00
05.2022;11,00;17,10;4,00
04.2022;17,00;17,83;4,00
03.2022;20,00;16,69;4,00
02.2022;20,00;9,15;4,00
01.2022;8,50;8,73;4,00
12.2021;8,50;8,39;4,00
11.2021;7,50;8,40;4,00
10.2021;7,50;8,13;4,00
09.2021;6,75;7,40;4,00
08.2021;6,50;6,68;4,00
07.2021;6,50;6,50;4,00
06.2021;5,50;6,50;4,00
05.2021;5,00;6,00;4,00
04.2021;5,00;5,50;4,00
03.2021;4,50;5,80;4,00
02.2021;4,25;5,70;4,00
01.2021;4,25;5,20;4,00
12.2020;4,25;4,90;4,00
11.2020;4,25;4,40;4,00
10.2020;4,25;4,00;4,00
09.2020;4,25;3,70;4,00
08.2020;4,25;3,60;4,00
07.2020;4,25;3,40;4,00
06.2020;4,50;3,20;4,00
05.2020;5,50;3,00;4,00
04.2020;5,50;3,10;4,00
03.2020;6,00;2,50;4,00
02.2020;6,00;2,30;4,00
01.2020;6,25;2,40;4,00
