,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
0,ru000a102a15 ,спбго35003 ,21.12,22,13549917,rub,700.0,sur,83.88,"83,86","84,53","84,18","14,47",,- ,- ,13.04.27,,"84,13",19.84,05.04.24,796,14.6559,796.0,86.0,76.0,05.04.24 18:39,12.068571428571428%
1,ru000a1030s9 ,мгор72-об ,32.66,107,1744803,rub,1000.0,sur,99.76,"99,62","99,99","99,71","14,12",,- ,"13,2438",23.04.24,,"99,71",29.43,05.04.24,14,01.12.63,14.0,-82.0,-82.0,05.04.24 18:39,13.063999999999998%
2,ru000a106ye3 ,мгдобл2023 ,34.28,60,1695049,rub,1000.0,sur,100.72,"100,5","100,83","100,68","14,2",,- ,- ,20.09.28,,"100,68",3.39,05.04.24,1034,14.185,1034.0,80.0,74.0,05.04.24 18:39,13.712%
3,ru000a101u61 ,ульоб35002 ,32.91,131,1623219,rub,1000.0,sur,86.94,"86,82","87,03","86,9","16,69",,- ,- ,25.06.27,,"86,9",17.72,05.04.24,542,16.6572,542.0,294.0,262.0,05.04.24 18:39,13.163999999999998%
4,ru000a0zycm2 ,красяркр13 ,9.79,86,1219255,rub,500.0,sur,96.88,"96,59","97,5","97,44","14,05",,- ,- ,03.10.24,,"97,44",0.11,05.04.24,176,15.4134,176.0,-62.0,-62.0,05.04.24 18:39,7.831999999999999%
5,ru000a1033z8 ,мгор74-об ,36.8,184,1121280,rub,1000.0,sur,81.19,"80,55","81,56","81,4","13,85",,- ,- ,18.05.28,,"81,48",27.09,05.04.24,1256,13.9352,1256.0,59.0,55.0,05.04.24 18:39,14.719999999999999%
6,ru000a107b19 ,новосиб 23 ,31.79,85,1072306,rub,1000.0,sur,98.38,"98,25","98,68","98,35","13,87",,- ,- ,22.11.30,,"98,35",26.55,05.04.24,1333,13.8643,1333.0,58.0,61.0,05.04.24 18:39,12.716%
7,ru000a1077u6 ,ульоб34006 ,36.15,77,937915,rub,1000.0,sur,99.99,"99,88","100,02","99,96","15,34",,- ,- ,14.05.26,,"99,96",19.86,05.04.24,409,15.3052,409.0,137.0,104.0,05.04.24 18:39,14.46%
8,ru000a0jxys9 ,краснодкр1 ,8.58,63,880340,rub,400.0,sur,97.99,"97,87","98,02","97,99","15,65",,- ,- ,09.08.24,,"97,99",5.28,05.04.24,121,15.6452,121.0,90.0,90.0,05.04.24 18:39,8.58%
9,ru000a102ds6 ,нижгороб15 ,15.21,28,770121,rub,1000.0,sur,89.55,"89,53","89,55","89,55","15,73",,- ,- ,27.05.26,,"89,55",7.52,05.04.24,458,15.7293,458.0,175.0,152.0,05.04.24 18:39,6.0840000000000005%
10,ru000a0jvm81 ,оренб35003 ,13.96,90,733552,rub,400.0,sur,100.38,"100,33","100,66","100,45","14,01",,- ,- ,03.07.25,,"100,45",0.15,05.04.24,254,14.1268,254.0,-33.0,-54.0,05.04.24 18:39,13.96%
11,ru000a106ft0 ,башкорт23 ,23.31,54,557180,rub,1000.0,sur,92.1,"91,61","92,48","91,61","14,96",,- ,- ,30.06.26,,"91,83",0.77,05.04.24,676,14.6345,677.0,115.0,109.0,05.04.24 18:39,9.323999999999998%
12,ru000a1026b3 ,башкорт20 ,10.3,111,424416,rub,700.0,sur,91.73,"91,24","92,7","91,85","15,49",,- ,- ,24.09.25,,"91,85",1.02,05.04.24,358,15.6387,358.0,126.0,110.0,05.04.24 18:39,5.885714285714286%
13,ru000a101665 ,нижгороб14 ,11.78,52,401969,rub,700.0,sur,94.45,"94,31","94,71","94,63","15,47",,- ,- ,14.06.25,,"94,63",3.62,05.04.24,256,15.7796,256.0,114.0,92.0,05.04.24 18:39,6.731428571428571%
14,ru000a1011q3 ,новосиб 20 ,12.96,20,354005,rub,800.0,sur,97.9,"97,86","97,99","97,99","15,15",,- ,- ,13.11.24,,"97,99",11.82,05.04.24,93,15.5571,93.0,54.0,36.0,05.04.24 18:39,6.480000000000001%
15,ru000a103dn5 ,башкорт21 ,19.07,84,337287,rub,1000.0,sur,91.65,"91,08","92,67","92,11","15,21",,- ,- ,07.07.26,,"92,11",18.23,05.04.24,438,15.6825,437.0,127.0,96.0,05.04.24 18:39,7.628%
16,ru000a0jwz77 ,свердлоб3 ,4.89,33,236341,rub,200.0,sur,97.1,"97,09","97,12","97,1","15,74",,- ,- ,15.11.24,,"97,1",2.63,05.04.24,214,15.7414,214.0,114.0,113.0,05.04.24 18:39,9.78%
17,ru000a1024l7 ,томскобл20 ,13.22,44,195876,rub,800.0,sur,87.76,"87,59","87,85","87,77","15,73",,- ,- ,23.07.27,,"87,77",8.22,05.04.24,573,15.7355,573.0,200.0,170.0,05.04.24 18:39,6.61%
18,ru000a0zyg60 ,саратобл17 ,8.08,87,181303,rub,400.0,sur,96.03,"95,84","96,28","96,21","15,42",,- ,- ,20.11.24,,"96,21",3.91,05.04.24,220,15.775,220.0,83.0,82.0,05.04.24 18:39,8.08%
19,ru000a0zz8x4 ,краснодкр2 ,9.51,46,168688,rub,500.0,sur,95.04,"94,78","95,22",95,"15,53",,- ,- ,03.06.25,,95,3.97,05.04.24,267,15.4605,267.0,113.0,100.0,05.04.24 18:39,7.608%
20,ru000a0zyl22 ,кчр 2017 ,10.85,41,156379,rub,500.0,sur,97.43,"97,28","97,53","97,48","15,65",,- ,- ,18.12.24,,"97,48",2.74,05.04.24,155,15.7868,155.0,103.0,95.0,05.04.24 18:39,8.68%
21,ru000a102cr0 ,мособ35015 ,10.38,44,153105,rub,700.0,sur,88.19,"87,72","88,46","88,24","15,42",,- ,- ,10.11.26,,"88,27",5.93,05.04.24,524,15.4632,524.0,153.0,131.0,05.04.24 18:39,5.931428571428572%
22,ru000a0zz7e6 ,якут-10 об ,7.53,101,152395,rub,400.0,sur,94.77,"94,65","94,97","94,71","15,67",,- ,- ,15.05.25,,"94,81",4.14,05.04.24,275,15.5728,275.0,125.0,115.0,05.04.24 18:39,7.53%
23,ru000a101z17 ,свердлобл8 ,15.21,31,148477,rub,1000.0,sur,85.33,"85,19","86,09","85,93","14,5",,- ,- ,29.07.27,,"85,92",11.87,05.04.24,718,14.9005,717.0,80.0,68.0,05.04.24 18:39,6.0840000000000005%
24,ru000a100xp4 ,мособл2019 ,4.39,47,137167,rub,250.0,sur,96.6,"96,5","96,9","96,59","14,98",,- ,- ,08.10.24,,"96,59",4.2,05.04.24,178,14.9529,178.0,32.0,31.0,05.04.24 18:39,7.024%
25,ru000a105nd0 ,калинобл22 ,25.68,27,135414,rub,1000.0,sur,96.72,"96,14","97,48","97,21","11,63",,- ,- ,13.12.29,,"97,21",4.23,05.04.24,1232,01.11.42,1231.0,-169.0,-169.0,05.04.24 18:39,10.272%
26,ru000a0zyku8 ,калинобл17 ,13.8,69,131876,rub,700.0,sur,96.12,"95,63","96,42",96,"14,76",,- ,- ,17.12.24,,96,3.64,05.04.24,247,14.5549,247.0,21.0,21.0,05.04.24 18:39,7.885714285714286%
27,ru000a1033b9 ,якут-35015 ,14.46,18,130880,rub,800.0,sur,86.11,"85,8","86,75","86,16","13,91",,- ,- ,08.05.28,,"86,06",8.42,05.04.24,906,13.9348,906.0,41.0,32.0,05.04.24 18:39,7.23%
28,ru000a0zyfb8 ,красяркр14 ,9.77,38,124255,rub,500.0,sur,96.32,"96,2","96,4","96,38","15,44",,- ,- ,31.10.24,,"96,38",6.87,05.04.24,200,15.5717,200.0,82.0,81.0,05.04.24 18:39,7.815999999999999%
29,ru000a105nt6 ,мгдобл2022 ,26.45,11,118441,rub,1000.0,sur,94.0,"93,99","94,04",94,"14,08",,- ,- ,17.12.27,,94,4.07,05.04.24,826,14.076,826.0,50.0,40.0,05.04.24 18:39,10.579999999999998%
30,ru000a0zycd1 ,курск35001 ,5.95,134,116006,rub,300.0,sur,94.54,"94,33","94,68","94,49","15,78",,- ,- ,12.10.25,,"94,49",5.5,05.04.24,295,15.7052,295.0,159.0,129.0,05.04.24 18:39,7.933333333333334%
31,ru000a0jxr43 ,якут-09 об ,5.77,18,107165,rub,250.0,sur,99.46,"99,41",100,100,"8,82",,- ,"8,4865",16.05.24,,"99,93",3.35,05.04.24,38,14.5424,38.0,-607.0,-607.0,05.04.24 18:39,9.232%
