Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Закрытия %,НКД,Дата посл сделки,Дюрация дней,Вмененная RUONIA,Вмененная инфляция,BEI,Эффективная доходность,Дюрация срвзвеш,Z spread,G spread,Маркер КБД,Ставка купона
SU26240RMFS0 ,ОФЗ 26240 ,"34,9",4861,4097618885,RUB,1000,SUR,"62,388","62,31","62,917","62,492","13,7",,- ,- ,30.07.36,,"62,496","9,78",05.04.24,2626,- ,- ,- ,13.7215,2624,12,45,05.04.24 18:39,"7,0%"
SU26238RMFS4 ,ОФЗ 26238 ,"35,4",16366,1226282120,RUB,1000,SUR,"59,367","59,122","59,945","59,422","13,52",,- ,- ,15.05.41,,"59,4","23,54",05.04.24,2835,- ,- ,- ,13.5361,2834,-25,24,05.04.24 18:39,"7,1%"
SU26243RMFS4 ,ОФЗ 26243 ,"48,87",11219,1140310883,RUB,1000,SUR,"77,526","77,4","78,143","77,65","13,8",,- ,- ,19.05.38,,"77,695","32,49",05.04.24,2490,- ,- ,- ,13.8257,2488,17,58,05.04.24 18:39,"9,8%"
SU26244RMFS2 ,ОФЗ 26244 ,"56,1",9275,1036224448,RUB,1000,SUR,"89,329","89,122","89,899","89,5","13,61",,- ,- ,15.03.34,,"89,38","2,77",05.04.24,2182,- ,- ,- ,13.6448,2181,19,43,05.04.24 18:39,"11,2%"
SU24021RMFS6 ,ОФЗ 24021 ,- ,1859,701963887,RUB,1000,SUR,"99,992","99,98","100,036","99,993",- ,,- ,"10,2107",24.04.24,,"99,986","30,96",05.04.24,15,- ,- ,- ,01.10.94,16,-421,-421,05.04.24 18:39,#ЗНАЧЕН!
RU000A0ZZVE6 ,RUS-25 EUR ,2875,1,517745623,EUR,100000,SUR,"99,4571","99,5","99,5","99,5","3,18",,- ,- ,04.12.25,,"98,9","96683,5415",05.04.24,594,- ,- ,- ,01.03.69,594,-1080,-1081,05.04.24 18:39,"5,8%"
SU26233RMFS5 ,ОФЗ 26233 ,"30,42",5339,482842504,RUB,1000,SUR,"59,292","59,101","60,04","59,352","13,52",,- ,- ,18.07.35,,"59,3","10,86",05.04.24,2611,- ,- ,- ,13.5355,2610,0,28,05.04.24 18:39,"6,1%"
SU26242RMFS6 ,ОФЗ 26242 ,"44,88",1688,440342208,RUB,1000,SUR,"84,944","84,742","85,299","84,89","13,4",,- ,- ,29.08.29,,"84,998","7,4",05.04.24,1551,- ,- ,- ,13.3815,1551,17,21,05.04.24 18:39,"9,0%"
SU26229RMFS3 ,ОФЗ 26229 ,"35,65",696,395498266,RUB,1000,SUR,"91,308","91,202","91,371","91,29","13,82",,- ,- ,12.11.25,,"91,319","27,81",05.04.24,543,- ,- ,- ,13.8053,543,-21,-25,05.04.24 18:39,"7,1%"
SU26227RMFS7 ,ОФЗ 26227 ,"36,9",1712,378870557,RUB,1000,SUR,"98,208","98,08","98,6","98,264","14,45",,- ,"13,745",17.07.24,,"98,191","16,02",05.04.24,99,- ,- ,- ,14.6795,99,-34,-34,05.04.24 18:39,"7,4%"
SU29014RMFS6 ,ОФЗ 29014 ,- ,468,327656051,RUB,1000,SUR,"99,871","99,802","99,985","99,93",- ,,- ,- ,25.03.26,,"99,898","3,8",05.04.24,627,- ,- ,- ,16.6148,627,270,263,05.04.24 18:39,#ЗНАЧЕН!
SU26207RMFS9 ,ОФЗ 26207 ,"40,64",1151,284710627,RUB,1000,SUR,"88,985","88,25","89,136","89,096","13,28",,- ,- ,03.02.27,,89,"12,95",05.04.24,922,- ,- ,- ,13.3333,922,-24,-29,05.04.24 18:39,"8,1%"
SU26226RMFS9 ,ОФЗ 26226 ,"39,64",682,273167326,RUB,1000,SUR,"89,666","89,603","89,88","89,807","13,26",,- ,- ,07.10.26,,"89,65","38,55",05.04.24,805,- ,- ,- ,13.3378,805,-36,-44,05.04.24 18:39,"7,9%"
SU26234RMFS3 ,ОФЗ 26234 ,"22,44",1505,233579418,RUB,1000,SUR,"89,239","89,136","89,345","89,233","14,52",,- ,- ,16.07.25,,"89,248","9,74",05.04.24,451,- ,- ,- ,14.5097,451,31,29,05.04.24 18:39,"4,5%"
SU26236RMFS8 ,ОФЗ 26236 ,"28,42",371,222157325,RUB,1000,SUR,"77,551","77,53","77,7","77,595","13,3",,- ,- ,17.05.28,,"77,55","21,08",05.04.24,1299,- ,- ,- ,13.32,1299,5,2,05.04.24 18:39,"5,7%"
SU29020RMFS3 ,ОФЗ 29020 ,- ,65,216486983,RUB,1000,SUR,"99,719","99,7","99,939","99,761",- ,,- ,- ,22.09.27,,"99,761","3,8",05.04.24,993,- ,- ,- ,16.649,993,322,313,05.04.24 18:39,#ЗНАЧЕН!
SU29024RMFS5 ,ОФЗ 29024 ,- ,267,192360876,RUB,1000,SUR,"97,762","97,536","97,85","97,772",- ,,- ,- ,18.04.35,,"97,85","27,93",05.04.24,1954,- ,- ,- ,16.2792,1953,282,311,05.04.24 18:39,#ЗНАЧЕН!
SU29006RMFS2 ,ОФЗ 29006 ,"72,6",329,180896532,RUB,1000,SUR,"100,959","100,909","101,127","101,002","13,58",,- ,- ,29.01.25,,"100,999","25,93",05.04.24,283,"14,76",- ,- ,13.6383,283,-91,-93,05.04.24 18:39,"14,5%"
SU29016RMFS1 ,ОФЗ 29016 ,- ,164,167738808,RUB,1000,SUR,"99,771","99,75","99,943","99,889",- ,,- ,- ,23.12.26,,"99,847","3,8",05.04.24,821,- ,- ,- ,16.6468,821,299,290,05.04.24 18:39,#ЗНАЧЕН!
SU26212RMFS9 ,ОФЗ 26212 ,"35,15",543,155992092,RUB,1000,SUR,"82,916","82,795","83,255","82,795","13,35",,- ,- ,19.01.28,,"82,95","13,91",05.04.24,1199,- ,- ,- ,13.3028,1199,5,2,05.04.24 18:39,"7,0%"
SU26230RMFS1 ,ОФЗ 26230 ,"38,39",4455,153943124,RUB,1000,SUR,"64,71","64,49","64,951","64,672","13,6",,- ,- ,16.03.39,,"64,622","0,42",05.04.24,2791,- ,- ,- ,13.5866,2792,-9,32,05.04.24 18:39,"7,7%"
SU26225RMFS1 ,ОФЗ 26225 ,"36,15",1714,139660549,RUB,1000,SUR,"67,841","67,7","68,349","68,104","13,44",,- ,- ,10.05.34,,"67,85","26,81",05.04.24,2337,- ,- ,- ,13.5018,2334,-1,24,05.04.24 18:39,"7,2%"
SU29018RMFS7 ,ОФЗ 29018 ,- ,48,98142978,RUB,1000,SUR,"98,999","98,881","99,185","99,161",- ,,- ,- ,26.11.31,,"99,019","12,78",05.04.24,1654,- ,- ,- ,16.6356,1653,327,342,05.04.24 18:39,#ЗНАЧЕН!
SU26232RMFS7 ,ОФЗ 26232 ,"29,92",336,88635696,RUB,1000,SUR,"81,055","81,025","81,307","81,249","13,23",,- ,- ,06.10.27,,"81,145","29,1",05.04.24,1115,- ,- ,- ,13.3202,1114,-10,-16,05.04.24 18:39,"6,0%"
SU26241RMFS8 ,ОФЗ 26241 ,"47,37",3116,84819920,RUB,1000,SUR,"81,542","81,47","81,998","81,75","13,52",,- ,- ,17.11.32,,"81,697","33,32",05.04.24,2023,- ,- ,- ,13.5675,2021,16,35,05.04.24 18:39,"9,5%"
SU26222RMFS8 ,ОФЗ 26222 ,"35,4",1075,70353455,RUB,1000,SUR,"96,714","96,643","96,817","96,797","14,1",,- ,- ,16.10.24,,"96,737","33,07",05.04.24,184,- ,- ,- ,14.289,184,-54,-55,05.04.24 18:39,"7,1%"
