,код,наименование,сумма_купона,сделок_шт,объем_в_валюте,валюта_номинала,непогашенный_долг,валюта_расчетов,цена_%_средневзвешенная,мин,макс,цена_посл_%,дох_посл_сделки,дата_оферты,доходность_к_оферте,доходность_посл_купона,дата_погашения,дата_расчета_дох,закрытия_%,нкд,дата_посл_сделки,дюрация_дней,вмененная_ruonia,вмененная_инфляция,bei,эффективная_доходность,дюрация_срвзвеш,z_spread,g_spread,маркер_кбд,ставка_купона
0,su26234rmfs3 ,офз 26234 ,22.44,1983,1770153488,rub,1000.0,sur,89.199,"88,922","89,447","89,295",14.5,,- ,- ,16.07.25,,"89,196",10.23,09.04.24,449,- ,- ,- ,14.5943,449.0,19.0,18.0,09.04.24 18:39,4.49
1,su26244rmfs2 ,офз 26244 ,56.1,9004,1598255184,rub,1000.0,sur,89.048,"88,89","89,248","89,12",13.69,,- ,- ,15.03.34,,"88,993",4.01,09.04.24,2177,- ,- ,- ,13.7047,2176.0,26.0,48.0,09.04.24 18:39,11.22
5,su26238rmfs4 ,офз 26238 ,35.4,9218,534106968,rub,1000.0,sur,59.337,"59,2","59,544","59,429",13.52,,- ,- ,15.05.41,,"59,332",24.31,09.04.24,2833,- ,- ,- ,13.5441,2831.0,-27.0,23.0,09.04.24 18:39,7.08
6,su26227rmfs7 ,офз 26227 ,36.9,2559,497218693,rub,1000.0,sur,98.245,"98,182","98,35","98,297",14.45,,- ,"13,7434",17.07.24,,"98,245",16.83,09.04.24,97,- ,- ,- ,14.6709,97.0,-36.0,-36.0,09.04.24 18:39,7.38
7,ru000a0jxu14 ,rus-47 ,5250.0,2,454017224,usd,200000.0,sur,94.3077,"94,3","94,5","94,5",5.67,,- ,- ,23.06.47,,"94,3077",286229.9003,09.04.24,4811,- ,- ,- ,01.05.06,4807.0,-854.0,-812.0,09.04.24 18:39,5.25
9,su26243rmfs4 ,офз 26243 ,48.87,5253,415437597,rub,1000.0,sur,77.641,"77,579","77,9","77,834",13.76,,- ,- ,19.05.38,,"77,65",33.56,09.04.24,2491,- ,- ,- ,13.8029,2488.0,12.0,52.0,09.04.24 18:39,9.77
10,su26222rmfs8 ,офз 26222 ,35.4,2176,360262345,rub,1000.0,sur,96.764,"96,631","96,899","96,863",14.03,,- ,- ,16.10.24,,"96,788",33.84,09.04.24,182,- ,- ,- ,14.2531,182.0,-67.0,-68.0,09.04.24 18:39,7.08
11,su29006rmfs2 ,офз 29006 ,72.6,381,291459440,rub,1000.0,sur,100.971,"100,8","101,19","100,98",13.6,,- ,- ,29.01.25,,"100,967",27.52,09.04.24,281,"14,83",- ,- ,13.6123,281.0,-97.0,-98.0,09.04.24 18:39,14.52
12,su26207rmfs9 ,офз 26207 ,40.64,897,279651294,rub,1000.0,sur,88.941,"88,89","89,404","88,929",13.37,,- ,- ,03.02.27,,"88,902",13.84,09.04.24,920,- ,- ,- ,13.3637,920.0,-22.0,-28.0,09.04.24 18:39,8.13
13,su26232rmfs7 ,офз 26232 ,29.92,555,248431917,rub,1000.0,sur,81.109,"80,95","81,5","81,181",13.28,,- ,- ,06.10.27,,"81,099",29.76,09.04.24,1154,- ,- ,- ,13.3072,1154.0,-12.0,-16.0,09.04.24 18:39,5.98
